player_id,player,minutes_played
4641,Francesca Kirby,1378
4645,Isobel Mary Christiansen,1917
4647,So-Yun Ji,1307
4657,Anita Amma Ankyewah Asante,1659
4846,Lucia Leon,245
4865,Josie Green,1003
4949,Rosemary Kathleen Lavelle,466
4961,Samantha May Kerr,1517
5016,Jessica Fishlock,1601
5076,Emily Louise van Egmond,1792
5078,Alanna Stephanie Kennedy,1570
5087,Samantha June Mewis,1147
6818,Hayley Emma Raso,1434
8297,Adriana Kristina Leon,1003
10093,Yana Daniëls,1713
10108,Pernille Mosegaard Harder,1286
10658,Danielle van de Donk,1259
11338,Caitlin Jade Foord,1317
15549,Sophie Louise Ingle,1226
15619,Bethany Mead,1652
15721,Gemma Suzanne Davison,861
16386,Lucy Hope,1248
19500,Sarah Emma Mayling,1564
22798,So-Hyun Cho,1082
24239,Jemma Elizabeth Purfield,1890
24403,Katerina Svitková,1032
25453,Geum-Min Lee,1032
25612,Jessie Alexandra Fleming,443
26570,Amalie Vevle Eikeland,1576
32403,Emma Wilhelmina Koivisto,765
35407,Ga-Eul Jeon,87
46636,Bethan Roberts,320
46717,Chloe Mccarron,296
46737,Ella Jade Mastrantonio,921
47541,Damaris Berta Egurrola Wienke,526
49697,Carlotte Wubben-Moy,1123
82429,Maisy Barker,94